antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Earphones', 'Tablet Cover'})","frozenset({'Tablet', 'Charger'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Earphones', 'Tablet Cover'})",frozenset({'Tablet'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet Cover'}),"frozenset({'Tablet', 'Earphones', 'Charger'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Charger', 'Tablet Cover'})","frozenset({'Tablet', 'Earphones'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet'}),"frozenset({'Earphones', 'Charger', 'Tablet Cover'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet'}),frozenset({'Tablet Cover'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet Cover'}),"frozenset({'Tablet', 'Charger'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Tablet', 'Charger'})",frozenset({'Tablet Cover'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet Cover'}),frozenset({'Tablet'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet'}),"frozenset({'Earphones', 'Tablet Cover'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet Cover'}),"frozenset({'Tablet', 'Earphones'})",0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Charger', 'Tablet Cover'})",frozenset({'Tablet'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
"frozenset({'Tablet', 'Earphones'})",frozenset({'Tablet Cover'}),0.076,0.076,0.076,1.0,13.157894736842106,1.0,0.070224,inf,1.0,1.0,1.0,1.0
frozenset({'Tablet'}),"frozenset({'Charger', 'Earphones'})",0.076,0.08,0.076,1.0,12.5,1.0,0.06992,inf,0.9956709956709957,0.95,1.0,0.975
frozenset({'Tablet Cover'}),"frozenset({'Earphones', 'Charger'})",0.076,0.08,0.076,1.0,12.5,1.0,0.06992,inf,0.9956709956709957,0.95,1.0,0.975
"frozenset({'Charger', 'Earphones'})",frozenset({'Tablet'}),0.08,0.076,0.076,0.95,12.5,1.0,0.06992,18.479999999999986,1.0,0.95,0.9458874458874459,0.975
"frozenset({'Tablet', 'Tablet Cover'})","frozenset({'Earphones', 'Charger'})",0.076,0.08,0.076,1.0,12.5,1.0,0.06992,inf,0.9956709956709957,0.95,1.0,0.975
"frozenset({'Earphones', 'Charger'})","frozenset({'Tablet', 'Tablet Cover'})",0.08,0.076,0.076,0.95,12.5,1.0,0.06992,18.479999999999986,1.0,0.95,0.9458874458874459,0.975
"frozenset({'Earphones', 'Charger'})",frozenset({'Tablet Cover'}),0.08,0.076,0.076,0.95,12.5,1.0,0.06992,18.479999999999986,1.0,0.95,0.9458874458874459,0.975
"frozenset({'Mouse', 'Laptop', 'USB Hub'})","frozenset({'Laptop Bag', 'Keyboard'})",0.088,0.084,0.084,0.9545454545454547,11.363636363636365,1.0,0.07660800000000001,20.15200000000007,1.0,0.9545454545454548,0.9503771337832475,0.9772727272727273
"frozenset({'Laptop Bag', 'Keyboard'})","frozenset({'Laptop', 'USB Hub'})",0.084,0.088,0.084,1.0,11.363636363636365,1.0,0.07660800000000001,inf,0.9956331877729258,0.9545454545454548,1.0,0.9772727272727273
"frozenset({'Laptop Bag', 'Keyboard', 'Mouse'})","frozenset({'Laptop', 'USB Hub'})",0.084,0.088,0.084,1.0,11.363636363636365,1.0,0.07660800000000001,inf,0.9956331877729258,0.9545454545454548,1.0,0.9772727272727273
"frozenset({'Laptop', 'USB Hub'})","frozenset({'Laptop Bag', 'Keyboard'})",0.088,0.084,0.084,0.9545454545454547,11.363636363636365,1.0,0.07660800000000001,20.15200000000007,1.0,0.9545454545454548,0.9503771337832475,0.9772727272727273
"frozenset({'Laptop', 'USB Hub'})","frozenset({'Laptop Bag', 'Keyboard', 'Mouse'})",0.088,0.084,0.084,0.9545454545454547,11.363636363636365,1.0,0.07660800000000001,20.15200000000007,1.0,0.9545454545454548,0.9503771337832475,0.9772727272727273
"frozenset({'Laptop Bag', 'Keyboard'})","frozenset({'Mouse', 'Laptop', 'USB Hub'})",0.084,0.088,0.084,1.0,11.363636363636365,1.0,0.07660800000000001,inf,0.9956331877729258,0.9545454545454548,1.0,0.9772727272727273
"frozenset({'Notebook', 'Pen', 'Coffee Mug'})",frozenset({'Desk Lamp'}),0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
frozenset({'Desk Lamp'}),"frozenset({'Notebook', 'Coffee Mug'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Desk Lamp', 'Notebook'})","frozenset({'Pen', 'Coffee Mug'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Desk Lamp', 'Pen'})","frozenset({'Notebook', 'Coffee Mug'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Coffee Mug'})","frozenset({'Desk Lamp', 'Pen'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Notebook', 'Coffee Mug'})",frozenset({'Desk Lamp'}),0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Pen', 'Coffee Mug'})",frozenset({'Desk Lamp'}),0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
frozenset({'Desk Lamp'}),"frozenset({'Notebook', 'Pen', 'Coffee Mug'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Pen', 'Coffee Mug'})","frozenset({'Desk Lamp', 'Notebook'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
frozenset({'Desk Lamp'}),"frozenset({'Pen', 'Coffee Mug'})",0.092,0.092,0.092,1.0,10.869565217391305,1.0,0.083536,inf,1.0,1.0,1.0,1.0
"frozenset({'Screen Protector', 'Phone'})","frozenset({'Charger', 'Phone Case', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Screen Protector'}),"frozenset({'Charger', 'Phone', 'Phone Case', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Charger', 'Screen Protector', 'Phone'})","frozenset({'Phone Case', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Power Bank'})","frozenset({'Charger', 'Screen Protector'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Screen Protector'}),"frozenset({'Phone Case', 'Power Bank', 'Phone'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Charger', 'Phone', 'Phone Case', 'Power Bank'})",frozenset({'Screen Protector'}),0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Charger', 'Screen Protector'})","frozenset({'Phone Case', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Charger', 'Phone Case', 'Power Bank'})","frozenset({'Screen Protector', 'Phone'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Screen Protector'}),"frozenset({'Phone Case', 'Charger', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Power Bank', 'Phone'})",frozenset({'Screen Protector'}),0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Charger', 'Screen Protector'})","frozenset({'Phone Case', 'Phone', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Charger', 'Power Bank'})",frozenset({'Screen Protector'}),0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Screen Protector'}),"frozenset({'Phone Case', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Power Bank'})",frozenset({'Screen Protector'}),0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Screen Protector', 'Phone'})","frozenset({'Phone Case', 'Power Bank'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Power Bank'})","frozenset({'Screen Protector', 'Phone'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Phone', 'Power Bank'})","frozenset({'Charger', 'Screen Protector'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Phone Case', 'Power Bank'})","frozenset({'Charger', 'Screen Protector', 'Phone'})",0.104,0.104,0.104,1.0,9.615384615384615,1.0,0.09318399999999999,inf,0.9999999999999999,1.0,1.0,1.0
"frozenset({'Charger', 'Screen Protector', 'Power Bank'})","frozenset({'Phone Case', 'Phone'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Phone Case', 'Phone'})","frozenset({'Charger', 'Screen Protector', 'Power Bank'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Phone Case', 'Phone'})","frozenset({'Screen Protector', 'Power Bank'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Screen Protector', 'Power Bank'})","frozenset({'Charger', 'Phone Case', 'Phone'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Phone Case', 'Charger'})","frozenset({'Screen Protector', 'Phone'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Phone Case', 'Phone'})","frozenset({'Charger', 'Screen Protector'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Screen Protector', 'Phone'})","frozenset({'Phone Case', 'Charger'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Charger', 'Phone Case', 'Phone'})","frozenset({'Screen Protector', 'Power Bank'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
frozenset({'Screen Protector'}),"frozenset({'Phone Case', 'Charger', 'Phone'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Screen Protector', 'Power Bank'})","frozenset({'Phone Case', 'Charger'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Charger', 'Screen Protector'})","frozenset({'Phone Case', 'Phone'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
frozenset({'Screen Protector'}),"frozenset({'Phone Case', 'Phone'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Screen Protector', 'Phone', 'Power Bank'})","frozenset({'Charger', 'Phone Case'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Charger', 'Phone Case'})","frozenset({'Screen Protector', 'Phone', 'Power Bank'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Phone Case', 'Charger'})","frozenset({'Screen Protector', 'Power Bank'})",0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Screen Protector', 'Power Bank'})","frozenset({'Phone Case', 'Phone'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Phone Case', 'Charger'})",frozenset({'Screen Protector'}),0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Phone Case', 'Phone'})",frozenset({'Screen Protector'}),0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
"frozenset({'Phone Case', 'Charger', 'Phone'})",frozenset({'Screen Protector'}),0.116,0.104,0.104,0.8965517241379309,8.620689655172413,1.0,0.09193599999999999,8.661333333333326,1.0,0.8965517241379309,0.8845443349753693,0.9482758620689655
frozenset({'Screen Protector'}),"frozenset({'Phone Case', 'Charger'})",0.104,0.116,0.104,1.0,8.620689655172413,1.0,0.09193599999999999,inf,0.9866071428571427,0.8965517241379309,1.0,0.9482758620689655
"frozenset({'Desk Lamp', 'Notebook'})",frozenset({'Coffee Mug'}),0.092,0.12,0.092,1.0,8.333333333333334,1.0,0.08096,inf,0.9691629955947137,0.7666666666666667,1.0,0.8833333333333333
frozenset({'Coffee Mug'}),frozenset({'Desk Lamp'}),0.12,0.092,0.092,0.7666666666666667,8.333333333333334,1.0,0.08096,3.8914285714285723,1.0,0.7666666666666667,0.7430249632892806,0.8833333333333333
frozenset({'Coffee Mug'}),"frozenset({'Desk Lamp', 'Notebook'})",0.12,0.092,0.092,0.7666666666666667,8.333333333333334,1.0,0.08096,3.8914285714285723,1.0,0.7666666666666667,0.7430249632892806,0.8833333333333333
frozenset({'Coffee Mug'}),"frozenset({'Desk Lamp', 'Pen'})",0.12,0.092,0.092,0.7666666666666667,8.333333333333334,1.0,0.08096,3.8914285714285723,1.0,0.7666666666666667,0.7430249632892806,0.8833333333333333
frozenset({'Coffee Mug'}),"frozenset({'Desk Lamp', 'Notebook', 'Pen'})",0.12,0.092,0.092,0.7666666666666667,8.333333333333334,1.0,0.08096,3.8914285714285723,1.0,0.7666666666666667,0.7430249632892806,0.8833333333333333
frozenset({'Desk Lamp'}),frozenset({'Coffee Mug'}),0.092,0.12,0.092,1.0,8.333333333333334,1.0,0.08096,inf,0.9691629955947137,0.7666666666666667,1.0,0.8833333333333333
"frozenset({'Desk Lamp', 'Notebook', 'Pen'})",frozenset({'Coffee Mug'}),0.092,0.12,0.092,1.0,8.333333333333334,1.0,0.08096,inf,0.9691629955947137,0.7666666666666667,1.0,0.8833333333333333
"frozenset({'Desk Lamp', 'Pen'})",frozenset({'Coffee Mug'}),0.092,0.12,0.092,1.0,8.333333333333334,1.0,0.08096,inf,0.9691629955947137,0.7666666666666667,1.0,0.8833333333333333
"frozenset({'Phone Case', 'Screen Protector'})","frozenset({'Charger', 'Phone', 'Power Bank'})",0.104,0.124,0.104,1.0,8.064516129032258,1.0,0.09110399999999999,inf,0.9776785714285713,0.8387096774193549,1.0,0.9193548387096774
frozenset({'Screen Protector'}),"frozenset({'Charger', 'Power Bank', 'Phone'})",0.104,0.124,0.104,1.0,8.064516129032258,1.0,0.09110399999999999,inf,0.9776785714285713,0.8387096774193549,1.0,0.9193548387096774
"frozenset({'Charger', 'Power Bank', 'Phone'})",frozenset({'Screen Protector'}),0.124,0.104,0.104,0.8387096774193548,8.064516129032258,1.0,0.09110399999999999,5.5551999999999975,1.0,0.8387096774193549,0.8199884792626727,0.9193548387096774
"frozenset({'Charger', 'Phone', 'Power Bank'})","frozenset({'Phone Case', 'Screen Protector'})",0.124,0.104,0.104,0.8387096774193548,8.064516129032258,1.0,0.09110399999999999,5.5551999999999975,1.0,0.8387096774193549,0.8199884792626727,0.9193548387096774
frozenset({'Phone Case'}),"frozenset({'Charger', 'Screen Protector', 'Phone'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),"frozenset({'Screen Protector', 'Power Bank'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),"frozenset({'Screen Protector', 'Charger', 'Phone', 'Power Bank'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),"frozenset({'Charger', 'Screen Protector', 'Power Bank'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),"frozenset({'Screen Protector', 'Power Bank', 'Phone'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),frozenset({'Screen Protector'}),0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),"frozenset({'Screen Protector', 'Phone'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
frozenset({'Phone Case'}),"frozenset({'Charger', 'Screen Protector'})",0.132,0.104,0.104,0.7878787878787878,7.575757575757576,1.0,0.09027199999999999,4.223999999999999,1.0,0.7878787878787878,0.7632575757575757,0.8939393939393939
"frozenset({'Screen Protector', 'Power Bank'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
frozenset({'Screen Protector'}),frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Charger', 'Screen Protector', 'Phone'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Charger', 'Screen Protector', 'Power Bank'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Charger', 'Screen Protector'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Screen Protector', 'Charger', 'Phone', 'Power Bank'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Screen Protector', 'Power Bank', 'Phone'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Screen Protector', 'Phone'})",frozenset({'Phone Case'}),0.104,0.132,0.104,1.0,7.575757575757575,1.0,0.09027199999999999,inf,0.9687499999999999,0.7878787878787878,1.0,0.8939393939393939
"frozenset({'Phone Case', 'Screen Protector'})","frozenset({'Charger', 'Power Bank'})",0.104,0.136,0.104,1.0,7.352941176470588,1.0,0.08985599999999999,inf,0.9642857142857142,0.7647058823529411,1.0,0.8823529411764706
"frozenset({'Phone Case', 'Screen Protector', 'Phone'})","frozenset({'Charger', 'Power Bank'})",0.104,0.136,0.104,1.0,7.352941176470588,1.0,0.08985599999999999,inf,0.9642857142857142,0.7647058823529411,1.0,0.8823529411764706
"frozenset({'Charger', 'Power Bank'})","frozenset({'Phone Case', 'Screen Protector', 'Phone'})",0.136,0.104,0.104,0.7647058823529411,7.352941176470588,1.0,0.08985599999999999,3.8079999999999994,1.0,0.7647058823529411,0.7373949579831932,0.8823529411764706
"frozenset({'Charger', 'Power Bank'})","frozenset({'Screen Protector', 'Phone'})",0.136,0.104,0.104,0.7647058823529411,7.352941176470588,1.0,0.08985599999999999,3.8079999999999994,1.0,0.7647058823529411,0.7373949579831932,0.8823529411764706
frozenset({'Screen Protector'}),"frozenset({'Charger', 'Power Bank'})",0.104,0.136,0.104,1.0,7.352941176470588,1.0,0.08985599999999999,inf,0.9642857142857142,0.7647058823529411,1.0,0.8823529411764706
"frozenset({'Charger', 'Power Bank'})",frozenset({'Screen Protector'}),0.136,0.104,0.104,0.7647058823529411,7.352941176470588,1.0,0.08985599999999999,3.8079999999999994,1.0,0.7647058823529411,0.7373949579831932,0.8823529411764706
